Przypadek;Rozmiar;Wype³nienie;Funkcja;Strategia;CzasInsert[ms];AvgInsertProbes;CzasRemove[ms];AvgRemoveProbes;;;;;;;;;
Optymistyczny;10000;25;Modular;Linear;0.632;125.500;0.624;125.500;;;;;;;;;
Optymistyczny;10000;25;Modular;Quadratic;28.620;3703.912;24.176;3703.912;;;;;;;;;
Optymistyczny;10000;25;Modular;RobinHood;4.871;125.500;0.704;125.500;;;;;;;;;
Optymistyczny;10000;25;Modular;SeparateChain;0.921;124.500;0.704;125.500;;;;;;;;;
Optymistyczny;10000;25;Modular;TwoChoice;0.866;99.492;0.052;2.886;;;;;;;;;
Optymistyczny;10000;25;Multiplicative;Linear;0.044;1.000;0.040;1.000;;;;;;;;;
Optymistyczny;10000;25;Multiplicative;Quadratic;0.043;1.000;0.039;1.000;;;;;;;;;
Optymistyczny;10000;25;Multiplicative;RobinHood;0.055;1.000;0.039;1.000;;;;;;;;;
Optymistyczny;10000;25;Multiplicative;SeparateChain;0.123;0.000;0.072;1.000;;;;;;;;;
Optymistyczny;10000;25;Multiplicative;TwoChoice;0.045;0.000;0.050;1.000;;;;;;;;;
Optymistyczny;10000;25;XOR+Shift;Linear;0.505;90.146;0.508;90.146;;;;;Metoda;Operacja;Najlepszy przypadek;Œredni przypadek;Najgorszy przypadek
Optymistyczny;10000;25;XOR+Shift;Quadratic;0.138;9.640;0.125;9.640;;;;;Separate Chaining;insert();O(1);O(1 + ?);O(n)
Optymistyczny;10000;25;XOR+Shift;RobinHood;2.758;90.146;0.486;90.146;;;;;;remove();O(1);O(1 + ?);O(n)
Optymistyczny;10000;25;XOR+Shift;SeparateChain;0.144;1.853;0.095;2.853;;;;;Open Addressing;insert();O(1);O(1 / (1 - ?));O(n)
Optymistyczny;10000;25;XOR+Shift;TwoChoice;0.834;89.146;0.137;13.918;;;;;;remove();O(1);O(1 / (1 - ?));O(n)
Optymistyczny;10000;25;Universal;Linear;9.203;1.000;0.095;1.000;;;;;Two Choice Hashing;insert();O(1);O(1);O(log log n)
Optymistyczny;10000;25;Universal;Quadratic;0.044;1.000;0.041;1.000;;;;;;remove();O(1);O(1);O(log log n)
Optymistyczny;10000;25;Universal;RobinHood;0.052;1.000;0.039;1.000;;;;;;;;;
Optymistyczny;10000;25;Universal;SeparateChain;0.207;0.000;0.106;1.000;;;;;;;;;
Optymistyczny;10000;25;Universal;TwoChoice;0.047;0.000;0.050;1.000;;;;;;;;;
Optymistyczny;10000;50;Modular;Linear;2.239;250.500;2.014;250.500;;;;;;;;;
Optymistyczny;10000;50;Modular;Quadratic;135.676;6851.956;89.735;6851.956;;;;;;;;;
Optymistyczny;10000;50;Modular;RobinHood;12.929;250.500;2.478;250.500;;;;;;;;;
Optymistyczny;10000;50;Modular;SeparateChain;4.770;249.500;4.821;250.500;;;;;;;;;
Optymistyczny;10000;50;Modular;TwoChoice;3.018;189.154;0.112;2.867;;;;;;;;;
Optymistyczny;10000;50;Multiplicative;Linear;0.092;1.144;0.088;1.144;;;;;;;;;
Optymistyczny;10000;50;Multiplicative;Quadratic;0.093;1.144;0.090;1.144;;;;;;;;;
Optymistyczny;10000;50;Multiplicative;RobinHood;0.131;1.144;0.087;1.144;;;;;;;;;
Optymistyczny;10000;50;Multiplicative;SeparateChain;0.346;0.144;0.273;1.144;;;;;;;;;
Optymistyczny;10000;50;Multiplicative;TwoChoice;0.106;0.107;0.175;1.235;;;;;;;;;
Optymistyczny;10000;50;XOR+Shift;Linear;1.961;179.087;1.471;179.087;;;;;;;;;
Optymistyczny;10000;50;XOR+Shift;Quadratic;0.339;12.965;0.307;12.965;;;;;;;;;
Optymistyczny;10000;50;XOR+Shift;RobinHood;9.831;179.087;1.744;179.087;;;;;;;;;
Optymistyczny;10000;50;XOR+Shift;SeparateChain;0.326;1.700;0.234;2.700;;;;;;;;;
Optymistyczny;10000;50;XOR+Shift;TwoChoice;2.916;178.087;0.405;37.905;;;;;;;;;
Optymistyczny;10000;50;Universal;Linear;0.073;1.000;0.056;1.000;;;;;;;;;
Optymistyczny;10000;50;Universal;Quadratic;0.088;1.000;0.084;1.000;;;;;;;;;
